DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2016.06.30,1317.62,1324.06,1312.73,1321.58,154092,90712995,24
2016.07.01,1322.58,1344.49,1320.47,1342.28,142338,79818973,24
2016.07.04,1339.61,1357.31,1339.50,1350.83,100936,45590569,24
2016.07.05,1349.21,1357.38,1338.05,1356.03,171227,104362111,24
2016.07.06,1356.93,1375.05,1355.94,1363.68,151669,105750556,24
2016.07.07,1362.58,1370.65,1350.69,1360.28,179163,122038992,24
2016.07.08,1359.21,1370.18,1335.17,1364.93,160798,114887781,24
2016.07.11,1368.43,1374.83,1350.57,1354.57,199384,119529243,24
2016.07.12,1355.19,1357.59,1330.31,1332.68,173382,93932745,24
2016.07.13,1333.88,1345.17,1327.46,1342.48,172647,108093228,24
2016.07.14,1342.93,1347.03,1320.08,1334.53,201433,118993814,24
2016.07.15,1335.38,1338.64,1322.41,1338.29,165966,102371833,24
2016.07.18,1334.11,1335.36,1323.38,1328.37,141084,88375515,24
2016.07.19,1328.15,1334.89,1325.45,1331.93,150346,93713520,24
2016.07.20,1332.17,1338.25,1312.53,1315.34,144970,94057470,24
2016.07.21,1313.87,1333.79,1310.77,1331.12,148769,108733164,24
2016.07.22,1330.84,1333.75,1319.58,1322.39,129787,103991368,24
2016.07.25,1321.77,1323.69,1312.25,1315.76,104376,75897109,24
2016.07.26,1315.22,1324.46,1313.76,1320.20,107188,81855013,24
2016.07.27,1319.27,1342.32,1315.67,1339.46,129785,94621266,24
2016.07.28,1338.41,1345.52,1332.36,1335.32,130598,87700237,24
2016.07.29,1335.37,1354.90,1328.27,1351.11,160832,99424452,24
2016.08.01,1350.61,1354.77,1346.17,1352.73,110164,81871862,24
2016.08.02,1353.03,1367.21,1347.01,1363.67,125971,93024178,24
2016.08.03,1363.17,1366.33,1354.07,1358.15,114393,73685599,24
2016.08.04,1357.65,1364.93,1349.05,1360.96,121496,86849783,24
2016.08.05,1360.97,1364.59,1334.61,1336.87,118610,80123694,24
2016.08.08,1332.89,1338.20,1329.77,1334.97,116933,74794416,24
2016.08.09,1334.94,1342.51,1330.42,1340.45,103197,69594569,24
2016.08.10,1339.96,1357.11,1339.87,1346.00,132126,90446756,24
2016.08.11,1346.97,1353.22,1335.68,1338.46,110730,82114002,24
2016.08.12,1338.02,1356.27,1333.08,1336.58,125937,103406586,0
2016.08.15,1337.13,1343.73,1335.70,1339.20,85943,75049429,24
2016.08.16,1339.60,1357.94,1339.24,1346.37,119844,106301391,24
2016.08.17,1345.52,1351.57,1335.57,1348.44,112144,99447833,24
2016.08.18,1349.59,1355.95,1345.98,1352.17,122309,103871503,23
2016.08.19,1352.11,1352.71,1337.71,1340.92,106137,94495200,24
2016.08.22,1338.34,1339.95,1331.66,1338.63,131365,119528272,24
2016.08.23,1338.84,1344.58,1335.19,1338.06,105543,93470681,24
2016.08.24,1337.75,1339.99,1323.65,1323.90,104373,94338763,24
2016.08.25,1325.32,1326.98,1317.93,1321.46,89477,81265463,24
2016.08.26,1321.86,1342.12,1318.29,1321.85,120480,104346170,24
2016.08.29,1319.53,1324.99,1314.87,1323.25,106883,99566307,24
2016.08.30,1323.31,1325.34,1309.18,1310.36,103213,90044508,24
2016.08.31,1311.35,1315.99,1304.16,1308.81,104367,86191157,24
2016.09.01,1309.79,1315.01,1302.41,1312.94,100334,83438719,0
2016.09.02,1313.77,1329.99,1303.19,1324.80,105971,68576861,15
2016.09.05,1324.73,1328.50,1321.68,1326.81,59069,51102354,24
2016.09.06,1326.20,1352.45,1324.73,1350.26,110106,93750131,24
2016.09.07,1348.18,1352.51,1342.62,1344.74,94448,80899210,24
2016.09.08,1345.04,1349.28,1335.49,1337.65,107701,91366625,19
2016.09.09,1338.24,1339.46,1326.83,1327.83,100365,90694457,24
2016.09.12,1328.49,1330.14,1320.30,1327.38,121848,93753663,24
2016.09.13,1327.41,1331.88,1315.51,1317.84,128347,102436290,24
2016.09.14,1318.84,1325.85,1313.29,1321.98,114114,83708637,24
2016.09.15,1322.67,1327.95,1309.19,1314.41,121637,89332251,24
2016.09.16,1315.24,1317.98,1306.14,1309.66,92003,75269153,24
2016.09.19,1309.83,1318.27,1309.32,1313.21,82810,67197550,24
2016.09.20,1313.18,1317.80,1311.94,1314.86,70921,59989599,24
2016.09.21,1314.81,1335.92,1307.78,1335.92,128719,101032717,24
2016.09.22,1333.89,1343.55,1331.10,1337.72,93926,71009527,24
2016.09.23,1337.43,1340.56,1333.73,1338.72,74257,63917912,24
2016.09.26,1336.59,1342.02,1332.61,1337.86,115599,73648668,24
2016.09.27,1338.21,1339.42,1324.63,1326.87,115461,76897394,24
2016.09.28,1326.78,1327.45,1317.92,1321.47,80672,54893108,24
2016.09.29,1321.69,1325.71,1315.94,1320.40,125920,87407994,24
2016.09.30,1321.27,1327.97,1313.13,1315.89,146441,89929260,24
2016.10.03,1317.19,1319.52,1309.28,1311.73,106678,83540775,24
2016.10.04,1311.76,1312.97,1266.92,1268.45,138909,0,0
2016.10.05,1268.35,1277.05,1262.05,1266.69,116982,92519727,24
2016.10.06,1267.70,1269.32,1249.75,1254.39,111795,85058710,24
2016.10.07,1255.20,1265.28,1241.30,1256.54,119172,84483944,24
2016.10.10,1257.40,1264.85,1256.55,1259.47,74438,60909586,24
2016.10.11,1259.29,1262.15,1250.91,1252.59,98085,77895815,24
2016.10.12,1253.15,1258.82,1249.69,1255.24,99118,73432025,21
2016.10.13,1255.59,1262.23,1253.03,1257.68,109705,82862724,21
2016.10.14,1258.03,1259.33,1246.03,1250.43,117267,84284636,24
2016.10.17,1251.17,1257.11,1250.03,1254.92,104418,67520034,24
2016.10.18,1255.23,1264.61,1254.92,1262.52,100588,67063756,24
2016.10.19,1262.70,1273.23,1260.17,1269.58,95687,57665513,24
2016.10.20,1269.27,1274.52,1264.67,1265.66,94414,68394510,20
2016.10.21,1265.70,1267.93,1261.03,1266.79,79411,61610784,24
2016.10.24,1265.89,1271.81,1260.28,1264.16,83283,60875551,24
2016.10.25,1264.49,1276.51,1262.01,1273.87,104884,73164128,24
2016.10.26,1273.73,1276.37,1264.57,1266.48,51006,30448313,22
2016.10.27,1266.51,1272.69,1264.99,1268.52,104928,71375298,24
2016.10.28,1267.98,1284.07,1261.88,1275.71,120056,79480199,24
2016.10.31,1277.21,1279.41,1271.11,1276.87,101226,75027737,24
2016.11.01,1276.63,1291.80,1275.59,1288.04,107918,59385270,24
2016.11.02,1288.31,1307.96,1287.24,1296.69,124558,77948800,24
2016.11.03,1298.27,1306.70,1285.50,1301.84,119604,80063929,24
2016.11.04,1303.98,1307.09,1294.67,1304.27,103461,58657253,24
2016.11.07,1292.27,1295.77,1278.09,1281.38,122663,71645717,24
2016.11.08,1282.47,1290.57,1272.76,1275.54,122511,74273421,24
2016.11.09,1273.10,1337.16,1267.91,1277.11,339333,154129839,24
2016.11.10,1278.44,1292.13,1252.18,1259.29,202991,116045687,24
2016.11.11,1259.14,1265.31,1219.03,1227.24,173763,100375323,24
2016.11.14,1228.97,1231.15,1211.44,1220.09,199718,95214333,24
2016.11.15,1221.37,1231.45,1218.77,1228.35,156186,68897848,24
2016.11.16,1228.05,1232.96,1221.39,1224.81,136213,71019595,24
2016.11.17,1225.33,1231.33,1210.95,1216.73,151950,89756023,24
2016.11.18,1216.54,1217.63,1202.74,1208.51,139676,74430707,24
2016.11.21,1207.44,1217.53,1205.47,1213.94,116054,55423334,24
2016.11.22,1213.33,1220.95,1206.04,1211.85,116763,60476772,24
2016.11.23,1213.11,1214.87,1181.58,1186.87,130610,67854948,24
2016.11.24,1188.36,1190.80,1180.23,1184.03,74544,39835161,24
